Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,169.500000,170.000000,167.750000,168.149994,113.002525,13233
2014-01-02,166.600006,172.300003,166.600006,171.500000,115.253860,98992
2014-01-03,172.000000,175.949997,170.000000,174.800003,117.471565,483177
2014-01-06,175.000000,178.699997,170.250000,176.050003,118.311607,1127035
2014-01-07,176.199997,180.000000,173.850006,174.800003,117.471565,81502
2014-01-08,174.949997,177.949997,173.199997,176.949997,118.916428,58616
2014-01-09,175.100006,178.149994,175.100006,177.199997,119.084457,52817
2014-01-10,177.899994,178.500000,168.600006,177.750000,119.454063,611082
2014-01-13,176.050003,178.500000,175.000000,176.399994,118.546814,22147
2014-01-14,177.899994,179.800003,174.000000,175.250000,117.773979,20377
2014-01-15,172.699997,176.899994,172.699997,174.899994,117.538757,2272058
2014-01-16,176.550003,176.550003,170.000000,172.800003,116.127518,618233
2014-01-17,170.199997,173.649994,165.399994,171.899994,115.522659,476833
2014-01-20,166.250000,170.449997,166.050003,167.600006,112.632935,62805
2014-01-21,166.199997,168.000000,165.350006,166.949997,112.196098,40312
2014-01-22,165.250000,169.500000,164.000000,165.399994,111.154449,14664
2014-01-23,161.600006,171.449997,161.600006,168.050003,112.935333,2706015
2014-01-24,170.899994,175.199997,169.100006,174.100006,117.001152,1690454
2014-01-27,175.000000,175.100006,166.000000,167.750000,112.733727,736309
2014-01-28,168.000000,173.649994,167.500000,171.750000,115.421860,184255
2014-01-29,175.000000,177.550003,172.750000,174.000000,116.933929,415425
2014-01-30,173.000000,173.100006,168.500000,171.250000,115.085854,178340
2014-01-31,171.949997,173.100006,170.500000,171.949997,115.556259,173173
2014-02-03,172.000000,172.000000,162.350006,164.449997,110.516022,331524
2014-02-04,165.000000,168.000000,163.699997,165.250000,111.053642,115192
2014-02-05,164.050003,169.800003,164.050003,165.850006,111.456863,133255
2014-02-06,164.600006,173.350006,164.600006,169.500000,113.909782,306438
2014-02-07,168.250000,173.500000,165.750000,167.050003,112.263321,2720807
2014-02-10,167.949997,169.500000,164.500000,165.750000,111.389664,1233008
2014-02-11,165.750000,169.250000,165.000000,167.000000,112.229706,197195
2014-02-12,167.949997,168.899994,166.750000,167.949997,112.868118,1988042
2014-02-13,167.050003,168.649994,165.500000,168.350006,113.136955,349376
2014-02-14,168.000000,174.300003,167.899994,172.750000,116.093887,2860468
2014-02-17,174.899994,176.000000,165.000000,170.000000,114.245811,752568
2014-02-18,169.250000,171.800003,168.550003,170.600006,114.649017,573261
2014-02-19,171.000000,172.500000,167.899994,171.250000,115.085854,28736
2014-02-20,169.550003,171.750000,168.449997,170.149994,114.346611,20110
2014-02-21,170.500000,173.899994,168.500000,172.399994,115.858681,1377669
2014-02-24,169.199997,173.449997,169.199997,171.500000,115.253860,771916
2014-02-25,170.250000,172.500000,170.000000,171.850006,115.489044,1541690
2014-02-26,171.000000,172.250000,169.000000,171.949997,115.556259,1497090
2014-02-28,172.000000,181.800003,172.000000,179.800003,120.831726,1959185
2014-03-03,177.199997,193.000000,177.199997,187.600006,126.073593,364203
2014-03-04,190.000000,193.899994,185.050003,190.300003,127.888100,2440949
2014-03-05,197.500000,214.000000,197.050003,201.500000,135.414856,2555115
2014-03-06,201.899994,207.399994,201.899994,206.600006,138.842239,1575824
2014-03-07,209.899994,215.000000,202.399994,205.449997,138.069412,390017
2014-03-10,202.000000,214.000000,202.000000,211.899994,142.404037,991069
2014-03-11,211.899994,213.949997,204.050003,210.899994,141.731995,1691837
2014-03-12,207.500000,209.199997,202.000000,203.000000,136.422928,978724
2014-03-13,202.250000,205.899994,198.000000,199.850006,134.306030,595835
2014-03-14,199.850006,202.000000,194.000000,196.149994,131.819473,127283
2014-03-18,194.000000,202.949997,194.000000,199.899994,134.339630,766649
2014-03-19,195.500000,201.300003,195.500000,199.300003,133.936386,1091766
2014-03-20,197.300003,199.750000,195.500000,196.199997,131.853088,116450
2014-03-21,195.050003,200.000000,190.000000,199.649994,134.171616,917772
2014-03-22,null,null,null,null,null,null
2014-03-24,195.350006,200.500000,195.350006,197.899994,132.995529,52886
2014-03-25,193.800003,202.000000,188.000000,199.699997,134.205215,12993066
